id,customer_text,actual_brand_reply,your_intent,your_escalate_decision,notes,prior_context
0,@XboxSupport Of course. I've tried everything and installed the Fall Update today. Nothing works. Many others with the problem. https://t.co/7l3gKghHIx,"@413014 here https://t.co/K9uQAXh0DA and at step seven select ""Reset and keep my games &amp; apps""  2 ^JS",game_app_crash,AUTO_HANDLE,,"[{""author"": ""413014"", ""text"": ""@XboxSupport Is anyone providing support for Skype on Xbox One? Audio hasn't worked on it for 6 months and posts to Skype forums are ignored"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@413014 HI there! Have you tested reinstalling the app and then power cycle: https://t.co/QENEhDawC3  ^JA"", ""inbound"": false}]"
1,@XboxSupport my Xbox One turns on but won’t boot up and it is out of warranty so can’t send in to get checked. What can I do to try to fix it? Tried holding power and eject at the same time but didn’t work.,@198241 Hey there! Let's try a fresh start by unplugging the console for a full 5 minutes then check again.  ^BL,hardware_issue,AUTO_HANDLE,,[]
2,@302698 HOW IS THIS LIGHT EVEN ON https://t.co/MDtJfclC31,"@480657 console and finally choose ""Startup Issue"" and follow the instructions. Let us know how that goes for you.  2 ^IS",hardware_issue,AUTO_HANDLE,,"[{""author"": ""480657"", ""text"": ""@XboxSupport I have been looking at this screen for half an hour https://t.co/SDHEzb1hBm"", ""inbound"": true}, {""author"": ""302698"", ""text"": ""@480657 Have you tried a hard reset? hold down the power button for 10 seconds the console will turn off and then turn it on. #XboxHelp"", ""inbound"": true}]"
3,"@XboxSupport When is cortana going to be available in Australia been waiting actual years for, but there's not even any mention of if/when it's coming out","@766443 Hi there! That's not something we'd have any details on here, I'm afraid; we'd recommend keeping an eye on https://t.co/1QSni2pd7h or https://t.co/iExoftpdqw for any official announcements and news! ^QZ",howto_general,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""Want  to know what Cortana can do on your Xbox One? Check out this\nguide: https://t.co/AxeRk4E9oi"", ""inbound"": false}]"
4,@115787 @12282 Final Fantasy 14 on Xbox One?,"@160820 link here? https://t.co/FI2DG48xus As for Final Fantasy XIV, that would be so cool to see on Xbox One! If  2 ^TJ",howto_general,AUTO_HANDLE,,"[{""author"": ""115787"", ""text"": ""Always great to be back in Tokyo meeting with partners and team.  @12282"", ""inbound"": true}]"
5,"@XboxSupport I'm using the xbox brand cable and battery, and yes my Kinect is set up, but whether the mic is off or on, doesn't matter.","@185226 Okay, when you are plugging in your controller, it will turn your console on. You  1 ^RM",hardware_issue,AUTO_HANDLE,,"[{""author"": ""185226"", ""text"": ""@XboxSupport Why does plugging my controller in to charge,  turn on my console? It did this prior to the latest build too. #preview"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@185226 Hi, is your charging station close to your console and do you have your Kinect features set up? ^RM"", ""inbound"": false}]"
6,@XboxSupport Literally just said it won't let me,"@664611 In that case, you will need to wait for the suspension to end. Do let us know if we can assist with any other issues. ^JL",enforcement_ban,ESCALATE,,"[{""author"": ""664611"", ""text"": ""@XboxSupport you have the most retarded ban system you banned me for griefing/trolling how can I do that when I have a com ban and if it's because I was attacking people on ark @130431 it's part of the game it's PvP for a reason it's what you suppose to do"", ""inbound"": true}, {""author"": ""664611"", ""text"": ""@XboxSupport @130431 This is fucking stupid I can't even play overwatch"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@664611 We don't have any influence on suspensions, I'm afraid; if you like, you can submit a case review: https://t.co/JoGQTtB3Sp  ^JL"", ""inbound"": false}]"
7,@XboxSupport to fix my xbox,@201662 networking equipment (modem/router) once that is back up and running let's turn the Xbox back on and try again.  2 ^XS,network_service,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@201663 We'd be happy to help, but could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"", ""inbound"": false}, {""author"": ""201662"", ""text"": ""@XboxSupport @201663 why does it say this I tested my internet on my phone please help me"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@201662 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"", ""inbound"": false}]"
8,"@XboxSupport The update for Halo 5 says I need 10.7 GB additional space to install it, but my storage says I'm well over 300 GB.","@460967 Thanks for that info! Recommend trying to uninstall the game, power  1 ^RR",game_app_crash,AUTO_HANDLE,,"[{""author"": ""460967"", ""text"": ""@XboxSupport Hello. I have a situation."", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@460967 Hi, how can we assist you? ^RM"", ""inbound"": false}]"
9,"@XboxSupport 
I need assistance w/ the smart glass app for Xbox 1 - it connects to my console but will not type when I bring up the remote","@702675 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? 
 ^TJ",game_app_crash,AUTO_HANDLE,,[]
10,@XboxSupport Glad too hear that im streaming everyday and i dont like to see these ppl around,"@175899 We definitely understand the concern. If you have any other support questions, just let us know.  ^JA",noise_other,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""@175899 We're sorry to hear about this experience. Let's have you be sure to report that message so that the Enforcement team 1/2  ^JA"", ""inbound"": false}, {""author"": ""175899"", ""text"": ""@XboxSupport but it looked like a secondary account since it only had 800G score"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@175899 Rest assured, the Enforcement team takes all reports very seriously and will thoroughly investigate.  ^JA"", ""inbound"": false}]"
11,Xbox 360 I can't sign up to Xbox Live.  @XboxSupport https://t.co/POdwvlYCLw,@642709 Sorry to hear that! Do you have any better luck if you try joining from the page here: https://t.co/BF5C6BcT2S instead?  ^QZ,account_signin,AUTO_HANDLE,,[]
12,"@XboxSupport I did all this steps, and i waited 72 hrs, but nothing of the achievements","@322121 Gotcha, thanks for that clarification! Did you do the survey at the end of the forum here https://t.co/wp644Cgkx4 ^JS",achievements_rewards,ESCALATE,"troubleshooting already attempted, not resolved","[{""author"": ""XboxSupport"", ""text"": ""@322121 would recommend redoing the steps listed on True Achievements while online. Let us know how that goes.  2 ^JL"", ""inbound"": false}, {""author"": ""322121"", ""text"": ""@XboxSupport I did again \""A short introduction\"" I just have to play dlc's first mission, and the achievement did not unlock https://t.co/Ioep2tfBKe"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@322121 you with information and troubleshooting steps on unlocking achievements here https://t.co/MBavviYwfX.  2 ^RM"", ""inbound"": false}]"
13,Me talking to xbox trying to figure out why my shit so wierd https://t.co/CppFIwyzLa,"@157447 Hi, if you're on an Xbox One console, please try the steps here: https://t.co/fHCPjSHTH7 to see if they can help out. ^ZM",noise_other,AUTO_HANDLE,"vague complaint, no specific issue described",[]
14,@XboxSupport @125833 what happen to the tank in destiny 2 it’s barely move like the tank would only go forward and backward ?,"@196355 Hi there! For this specific game mechanic, we'd recommend reaching out to the Publisher: https://t.co/Zx36WOELLT  ^JA",howto_general,AUTO_HANDLE,,[]
15,"@XboxSupport It says ""something went wrong""","@516606 Hello, thanks for reaching out to us. Can you send us your gamertag and a photo of the error you're seeing? ^CO",noise_other,AUTO_HANDLE,too vague to classify,"[{""author"": ""516606"", ""text"": ""@XboxSupport Hey, I get an error when I try and set another account as new home xbox, help?"", ""inbound"": true}]"
16,@XboxSupport I pre ordered COD WWII from the xbox store. I didn't get my preorder bonus. I didn't get a prestige token and 4 hour double xp bonus.  Help?,@502327 Thanks for reaching out! Activision has a page here: https://t.co/PmlH50tPUi  with some more info that can help.  ^QZ,purchase_store,ESCALATE,missing preorder bonus content,"[{""author"": ""XboxSupport"", ""text"": ""Have an Xbox support question &amp; haven't heard back from us yet? Send another tweet our way if you need help!"", ""inbound"": false}]"
17,@XboxSupport Can’t launch game. Have disc in and every time it starts and then takes me back to home,"@184553 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",game_app_crash,AUTO_HANDLE,,"[{""author"": ""XboxSupport"", ""text"": ""If you're trying to launch or download Forza 7, please know we have the proper teams investigating! Details at https://t.co/PzAdjUFMJj"", ""inbound"": false}]"
18,@XboxSupport How the hell do I use the QR code to download a game?  It used to work flawlessly in 2013...  Did you discontinue this?,@345107 Hi there! This is no longer a feature. If this is something you would like to see leave feedback at https://t.co/xzPtJXyHRY ^JS,howto_general,AUTO_HANDLE,,[]
19,@XboxSupport is there a way to downgrade my xbox update? Im on the preview program update and its very glitchy,"@152093 Hi there! There wouldn't be a way to revert to previous build, however, have you reported this to the Preview 1/2 ^JA",howto_general,AUTO_HANDLE,,[]
20,@XboxSupport I called support. They got it fixed. Thanks.,"@669276 Excellent, we're glad to hear you got this straightened out. Let us know if you have any other issues. ^CO",noise_other,AUTO_HANDLE,,"[{""author"": ""669276"", ""text"": ""@XboxSupport my Xbox is saying I need gold but I have gold already. I can’t do party chat or play online. Help needed ASAP"", ""inbound"": true}, {""author"": ""XboxSupport"", ""text"": ""@669276 hello, thanks for reaching out to us. Can you DM us your gamertag and your detailed network stats? ^CO"", ""inbound"": false}]"
21,@116540 @XboxSupport @115786 So say if me and a friend wanted to share a ultimate team on fifa n play it wouldn’t work,@511362 be able to play games which the account owns. You can set a home console with these steps https://t.co/G90oAkHXyx  2 ^JS,howto_general,AUTO_HANDLE,,"[{""author"": ""511362"", ""text"": ""@XboxSupport is it possible to say have 1 account people on 2 different Xbox’s to play on the same account at the same time @115786"", ""inbound"": true}, {""author"": ""116540"", ""text"": ""@511362 @XboxSupport @115786 One Xbox Live account can play on one Xbox 360 and one Xbox One at the same time. You cannot be logged into two Xbox One consoles though. #XboxHelp"", ""inbound"": true}]"
