customer_text,actual_brand_reply,draft_intent,your_intent,your_escalate_decision,notes
@XboxSupport Of course. I've tried everything and installed the Fall Update today. Nothing works. Many others with the problem. https://t.co/7l3gKghHIx,"@413014 here https://t.co/K9uQAXh0DA and at step seven select ""Reset and keep my games &amp; apps""  2 ^JS",network_service,,,
@XboxSupport my Xbox One turns on but won’t boot up and it is out of warranty so can’t send in to get checked. What can I do to try to fix it? Tried holding power and eject at the same time but didn’t work.,@198241 Hey there! Let's try a fresh start by unplugging the console for a full 5 minutes then check again.  ^BL,hardware_issue,,,
@302698 HOW IS THIS LIGHT EVEN ON https://t.co/MDtJfclC31,"@480657 console and finally choose ""Startup Issue"" and follow the instructions. Let us know how that goes for you.  2 ^IS",hardware_issue,,,
"@XboxSupport When is cortana going to be available in Australia been waiting actual years for, but there's not even any mention of if/when it's coming out","@766443 Hi there! That's not something we'd have any details on here, I'm afraid; we'd recommend keeping an eye on https://t.co/1QSni2pd7h or https://t.co/iExoftpdqw for any official announcements and news! ^QZ",howto_general,,,
@115787 @12282 Final Fantasy 14 on Xbox One?,"@160820 link here? https://t.co/FI2DG48xus As for Final Fantasy XIV, that would be so cool to see on Xbox One! If  2 ^TJ",howto_general,,,
"@XboxSupport I'm using the xbox brand cable and battery, and yes my Kinect is set up, but whether the mic is off or on, doesn't matter.","@185226 Okay, when you are plugging in your controller, it will turn your console on. You  1 ^RM",hardware_issue,,,
@XboxSupport Literally just said it won't let me,"@664611 In that case, you will need to wait for the suspension to end. Do let us know if we can assist with any other issues. ^JL",noise_other,,,
@XboxSupport to fix my xbox,@201662 networking equipment (modem/router) once that is back up and running let's turn the Xbox back on and try again.  2 ^XS,hardware_issue,,,
"@XboxSupport The update for Halo 5 says I need 10.7 GB additional space to install it, but my storage says I'm well over 300 GB.","@460967 Thanks for that info! Recommend trying to uninstall the game, power  1 ^RR",game_app_crash,,,
"@XboxSupport 
I need assistance w/ the smart glass app for Xbox 1 - it connects to my console but will not type when I bring up the remote","@702675 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? 
 ^TJ",game_app_crash,,,
@XboxSupport Glad too hear that im streaming everyday and i dont like to see these ppl around,"@175899 We definitely understand the concern. If you have any other support questions, just let us know.  ^JA",noise_other,,,
Xbox 360 I can't sign up to Xbox Live.  @XboxSupport https://t.co/POdwvlYCLw,@642709 Sorry to hear that! Do you have any better luck if you try joining from the page here: https://t.co/BF5C6BcT2S instead?  ^QZ,account_signin,,,
"@XboxSupport I did all this steps, and i waited 72 hrs, but nothing of the achievements","@322121 Gotcha, thanks for that clarification! Did you do the survey at the end of the forum here https://t.co/wp644Cgkx4 ^JS",achievements_rewards,,,
Me talking to xbox trying to figure out why my shit so wierd https://t.co/CppFIwyzLa,"@157447 Hi, if you're on an Xbox One console, please try the steps here: https://t.co/fHCPjSHTH7 to see if they can help out. ^ZM",noise_other,,,
@XboxSupport @125833 what happen to the tank in destiny 2 it’s barely move like the tank would only go forward and backward ?,"@196355 Hi there! For this specific game mechanic, we'd recommend reaching out to the Publisher: https://t.co/Zx36WOELLT  ^JA",game_app_crash,,,
"@XboxSupport It says ""something went wrong""","@516606 Hello, thanks for reaching out to us. Can you send us your gamertag and a photo of the error you're seeing? ^CO",game_app_crash,,,
@XboxSupport I pre ordered COD WWII from the xbox store. I didn't get my preorder bonus. I didn't get a prestige token and 4 hour double xp bonus.  Help?,@502327 Thanks for reaching out! Activision has a page here: https://t.co/PmlH50tPUi  with some more info that can help.  ^QZ,purchase_store,,,
@XboxSupport Can’t launch game. Have disc in and every time it starts and then takes me back to home,"@184553 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",game_app_crash,,,
@XboxSupport How the hell do I use the QR code to download a game?  It used to work flawlessly in 2013...  Did you discontinue this?,@345107 Hi there! This is no longer a feature. If this is something you would like to see leave feedback at https://t.co/xzPtJXyHRY ^JS,howto_general,,,
@XboxSupport is there a way to downgrade my xbox update? Im on the preview program update and its very glitchy,"@152093 Hi there! There wouldn't be a way to revert to previous build, however, have you reported this to the Preview 1/2 ^JA",howto_general,,,
@XboxSupport I called support. They got it fixed. Thanks.,"@669276 Excellent, we're glad to hear you got this straightened out. Let us know if you have any other issues. ^CO",noise_other,,,
@116540 @XboxSupport @115786 So say if me and a friend wanted to share a ultimate team on fifa n play it wouldn’t work,@511362 be able to play games which the account owns. You can set a home console with these steps https://t.co/G90oAkHXyx  2 ^JS,howto_general,,,
"@XboxSupport I have 5 games with multiple saved files, started all over again two weeks ago and now this morning they are vanished again. Why?",@177642 Hi there. Are you using an external hard drive or the internal? Do you mind DM'ing us so we can get some more info? ^JL,game_app_crash,,,
"@115890 Hey, @XboxSupport, both of my controllers have bad left sticks. I see this seems like a common issue. One from Amazon, can't remember where I got the other. Fixes? Ideas? Recalls? RMA?","@286724 Hey there, you can register your device here: https://t.co/v9YfjCym1O and check for warranty and repair options. If you have  1 ^XS",hardware_issue,,,
@XboxSupport hey xbox this person is saying very mean things to me and it is really hurting my feelings https://t.co/F896DC0Ex2,@226007 Hiya! We would highly recommend letting Enforcement know by filing a complaint https://t.co/PttOdLg3lY ^JL,enforcement_ban,,,
@XboxSupport That worked! Thank you! 💕,"@329080 Fantastic, we're glad to hear that. We hope you have a great weekend! :) ^ZM",noise_other,,,
@XboxSupport pésima asistencia!!😤,"@748483 Hey there. We are an English speaking support channel here, to better assist you are you able to continue in  1 ^BL",noise_other,,,
@XboxSupport Puerto Rico region,@446563 Thank you for that information. Let's reach out here: https://t.co/lOCEiuUPdH to get this sorted out.  ^BL,howto_general,,,
@XboxSupport my Xbox One ranomdly logs out of Xbox live. When I test connection it can't find the ip address. I have to restart my Xbox to get live back online. Internet is working on other devices. Help?,@702745 Hi there! We'd recommend following the steps in the guide here: https://t.co/kmbwtcwpuh  ^JA,network_service,,,
"@161794 @125833  

Everytime I select my character on Destiny 2 I get disconnected. I've tried restarting Xbox, clearing cache, help pls","@178892 Hi there, official Xbox Support here. If you have any Xbox questions for us, we're here and happy to help. ^ZM",game_app_crash,,,
@115786 @XboxSupport I fucking hate these messages!! Please Fuuuuucking help me!!!!!! Peace of shits!! https://t.co/S9aE0xmReQ,@240389 we can collect more info and take a closer look into this with you?  2 ^ZM,network_service,,,
@115786 @XboxSupport every time I try to change my home Xbox it does this. I went to the website and entered the code but that wouldn’t work either https://t.co/K1c3bGH7uZ,"@705570 @115786 Thanks for letting us know! We were closed up overnight: https://t.co/XJOdrwH5K1 but we're back open now. Can you DM us your gamertag, and a picture of what you see under Settings&gt;Network&gt;Detailed Network Statistics on the console? https://t.co/nPX1yNG0Tv ^QZ",howto_general,,,
"@XboxSupport Thanks, but it managed to start working all by itself.  Didn’t make much sense, but everything is good now",@218431 Glad to hear it! Happy gaming :) ^BZ,noise_other,,,
@XboxSupport I need your help!,"@166796 Hi there! We'd be happy to help with this. Could you follow us back &amp; DM your GamerTag when you get a chance? 
 ^TJ",noise_other,,,
@XboxSupport @XboxSupport the problem is him and I have many mutual friends so he joins there party when I’m in there it shouldn’t have come this far,@327246 a friend they won't be able to see you are online to join your party. If you have mutual friends you play with that know 4 ^XS,enforcement_ban,,,
@XboxSupport I have pre-ordered. Why can't I play? https://t.co/sU8TK7WeGl,"@164712 Hey there. Can you share your gamertag on this specifically? Happy to take a closer look with you on this.  ^IS
 https://t.co/3ZhVDWKaYU",purchase_store,,,
@356711 Got VC from gamestop around release week. Entered in my code and VC never showed up.,@670865 How long ago did you enter it and what steps have you tried so far? Can you DM your Gamertag to us?  ^JL,purchase_store,,,
@XboxSupport Ive tried all the steps and they’re still not appearing,@238930 Gotcha. Were these clips uploaded to Xbox Live?  ^JA,achievements_rewards,,,
Anyone help? Headset won’t work in party chat can’t hear the other person or mic won’t work but does in game chat @XboxSupport @2721,@389202 are having along with your Gamertag? Please include verbatims of any error you are seeing.  2 ^XS,hardware_issue,,,
Thanks @XboxSupport for stealing $64 from me and not letting me play the game I bought.,@495256 Hi there! Can you DM us your Gamertag and a photo of that order from this link https://t.co/ynh71OJwNH ^JL,billing_subscription,,,
"@XboxSupport my xbox is not working. This morning i jumped on the store and it gave my a black screen.I turned it off and gave the same black screen,what should should i do.",@250794 Heya! Let's have you check out the guide for the black screen here https://t.co/6sZTwNPUmo Let us know how that goes. ^JL,game_app_crash,,,
Internet is out. Wanted to watch Twilight on DVD to pass the time. I have to connect to the internet to watch a damn movie that I own physically?!?!?! @115890 @115786 @XboxSupport #WTAF https://t.co/831uqVuAjP,"@666483 Hi there, if you try disabling BD Live under Blu-ray settings: https://t.co/V7AIwc4ugr are you able to play the movie? ^ZM",howto_general,,,
@XboxSupport  https://t.co/3Cdw55aQyd,@222783 DM us your Gamertag and clarify what the issue is that you're having so we can investigate?  2 ^BZ,noise_other,,,
@XboxSupport DM?,@692784 A direct message or private message to us.  ^CO,noise_other,,,
@XboxSupport Alright,@198011 Let us know how that goes. ^JL,noise_other,,,
@XboxSupport It's a survival map me and my friends have been playing on for years,@675249 Do you own the map and run the server? The other info would also be helpful.  ^IS,noise_other,,,
@XboxSupport Is there a way I can uninstall the 4K assets if I ever decide I need the extra space but don't want to uninstall the game?,@796086 Hi there! I'm afraid there is no option to do so. If this is something that you'd like to see in the 1/2 ^TJ,howto_general,,,
@XboxSupport I'm still able to get free subscription I need you guys to fix my account,@291268 Hi there! There is currently a service alert affecting this. Our teams are aware and  1 ^JS,billing_subscription,,,
@XboxSupport Ah ok. If a picture doesn't follow those rules what happens? Does the pre check after picking the image catch it and not allow it?,@205610 avoid any content that might violate it. Let us know if you have any other questions.  2 ^JL,howto_general,,,
@XboxSupport bring back saints row 1,"@701917 If you have any ideas or suggestions, we have a feedback page here: https://t.co/xzPtJXQjgy for just that.  ^JL",noise_other,,,
"@XboxSupport Your shit fucking console doesn't let me log in, always a new shit bug literally every couple of days, btw do you know how much a PS4 costs?",@666197 Sorry to hear about the trouble! Can you DM us your gamertag and more details on what you're seeing when you try to log in? Is this on an Xbox One or Xbox 360 console? https://t.co/nPX1yNG0Tv ^QZ,account_signin,,,
@XboxSupport I have not try there but i cant log in to a new account on Xbox one.,@758112 When you have a moment try to make the account on the https://t.co/6DxzuMLtkS website then sign into said account on the console. ^XS,account_signin,,,
@XboxSupport on your website it says the Xbox Live problem has been fixed but I still can’t access Xbox Live,@293239 Hi there! Have you tested resetting your router/modem and then a power cycle: https://t.co/QENEhDawC3  ^JA,network_service,,,
@XboxSupport Thank you,@460321 No problem! Feel free to reach out should you have future Xbox Support questions! ^JS,noise_other,,,
"@XboxSupport Yes, but I can try it again. I reiterate it's only for Halo Wars 2; everything else installs/updates fine.",@203524 That is odd that it is only happening for one game and you followed these steps when restarting the console? https://t.co/isBz4u1SxB ^RM,game_app_crash,,,
@XboxSupport nfl red zone app not working I’m missing the games because of this y’all gotta make things right 🤬😡😡I want a free game or something,@625451 networking equipment (modem/router) once that is back up and running let's turn the Xbox back on and try again.  2 ^XS,game_app_crash,,,
"@XboxSupport I heard you can change your Xbox Live name for free for the first time, why can’t I change my name with my main email?",@130035 You can only change the GT for free if you have a pre-generated GT. So if  1 ^JL,account_signin,,,
"@XboxSupport My controller does not connect to my pc with Bluetooth and disconnects my xbox after 2 minutes of play, before she works very well, i don't understand. Thanks","@682098 Hey there, can you please DM us with a full description of the issue you  1 ^XS",hardware_issue,,,
@XboxSupport @XboxSupport could use a hand with this,"@178046 Greetings! Let's have you try resetting your router/modem and power cycling: https://t.co/QENEhDawC3
 ^RR",noise_other,,,
@204601 @115786 @117331 @194082 @115787 @115788 @345697 Your so lucky. Can't wait till next week,"@741524 Hey there! Official Xbox Support here! If you ever have any questions, be sure to Tweet us and we'd be glad to help! ^BZ",noise_other,,,
@XboxSupport I don't know if it's the new dashboard or there's a bug on the dashboard but my Xbox seems to be deleting my friends.,"@312939 Hello, you can try re-adding your Xbox account to the console by following these steps https://t.co/ANtB3VzqWa
 ^RM",game_app_crash,,,
"@XboxSupport Every one of my games is saying, Took To Long To Start. I have tried completely resetting my console. Please help.",@631495 Hi there! Let's be sure to work through all the steps here: https://t.co/BxdRECtlL8 ^BL,game_app_crash,,,
"@582533 @XboxSupport I got Planet Earth 2 to test it, and the HDR is 👌",@250289 Awesome! Glad to hear that things are up &amp; running on your end. Take care &amp; have a great day :)  ^TJ,noise_other,,,
"@XboxSupport It's not listed in there or under ready to install, but when I find it on the marketplace it tells me the content is installed","@409702 In order to equip the costume in Sonic Forces, you must complete the Avatar’s first stage (the Chemical Plant Spaceport), after which you  1 ^RM",purchase_store,,,
@XboxSupport https://t.co/Zbmp3YXJXu,@513771 …announcements would be https://t.co/1QSni2GOvR or https://t.co/iExoftGOP6 !   ^QZ,noise_other,,,
"@XboxSupport I can't even see the option to pay with it, just credit cards :(",@405767 I see. I'm afraid you'll only be able to use account currency to purchase backwards compatible titles when you 1/2  ^TJ,purchase_store,,,
@XboxSupport I tried both it this morning and last night and didn’t work....any other ideas?,"@550664 Hmm, is the game downloading to the internal hard drive or to an external storage device when you see errors? ^EZ",noise_other,,,
@XboxSupport still waiting for a reply?? @150441,@531219 hi there! Can you check to make sure your controller is up to date with the steps here https://t.co/AjbWyIX8UB ? ^JS,noise_other,,,
"@XboxSupport I googled it and fixed it, thank you for offering to help though",@458009 Great to hear! Feel free to reach out should you have future Xbox Support questions! Happy Gaming! ^JS,noise_other,,,
"@XboxSupport i bought shadow of mordor ages ago, yet now its gone from my games,and theres no install option in store.it says i own dlc tho😡","@395447 Hey there! To check, if you sign into your account here: https://t.co/FI2DG48xus do you see the transaction for that  1 ^BZ",purchase_store,,,
@115786 @XboxSupport @1478 @1479 @162401  Bug in Minecraft in the server of PvP.,"@349092 Hi! Let's have you follow us, DM us your Gamertag, and some more info about what you're seeing: https://t.co/nPX1yNXCi5
 ^BL",game_app_crash,,,
@291093 @115786 @XboxSupport @115890 I literally came on twitter right now to see if they had posted something about live being down.....,@291092 Thanks for all of your patience! The proper teams have been notified and are looking into this for you. ^QZ,network_service,,,
@XboxSupport okay well everytime i try to do what it say to file a case review. my account doesn't show an enforcement so how can i make a case review????,@810006 Can you send us a photo of the message you see on the console and on the Enforcement site? ^JL,enforcement_ban,,,
@XboxSupport been trying to download Friday the 13th 8 film deal for a while and it keeps getting error code. Any reason?,"@347224 Heya! This is something that is currently being looked into. If you see any changes on your end please let us know. 
 ^RR",purchase_store,,,
"@XboxSupport I replaced it on 6/22/17. For a $150 controller it's awful fragile. But still the best controller ever, that's why I'm bummed.",@191462 consult with out chat support team which options are available. You can reach them here https://t.co/sMM0hn9ycL.  2 ^RM,noise_other,,,
@XboxSupport @117331  Hi just wondering will there be a Xbox One S with Star Wars Battlefront 2 Bundle released in the UK.,"@696409 Hey, we would not be able to speculate, but you can refer to this page for the latest news for new Xbox games and content https://t.co/YbkcA3NhWK.
 ^RM",howto_general,,,
"@XboxSupport 
I can't use my account",@395605 Heyo! We'd like to Direct Message so we can collect some more information. Can you follow and  1 ^BZ,account_signin,,,
@XboxSupport Thank you,"@657677 Not a problem, have a good night!  ^BL",noise_other,,,
"@XboxSupport Dosent solve it , 3 consoles... and my account can’t be live on all three, meaning licenses will only work on one at the time.","@630917 If you like, you can leave feedback in regards to this here: https://t.co/Ub2WjDyEcS 2/2 ^JA",howto_general,,,
I preordered L.A. Noire on Xbox! I can't wait to play it again!,@439905 That's awesome to hear! Any other games that you're excited to play on the console?  ^JA,noise_other,,,
@XboxSupport why won’t my Xbox one X let me play games in 4K? My monitor supports 4K at 60hz. Already talked to Samsung .. Xbox issue ?,"@476348 Hi there! Let's check out our guide here for this 4K issue that you're seeing https://t.co/5YET6VY9ob
 ^TJ",howto_general,,,
"@XboxSupport It said there are no service offers, I just wanna know why its doing this Ive looked online and a lot of people say the same happens to them",@387732 with the chat team here: https://t.co/lUV7XYl61S to check out your options regarding the controller.  2 ^BL,howto_general,,,
"@XboxSupport Your app on windows 10 sucks really bad, I have uninstalled it countless times and it still crashes when I try to message someone. Also how large of a file size is the app suppose to be?",@732742 Hi there! Can you send us a video of what you are seeing? Happy to help troubleshoot that. ^JL,game_app_crash,,,
@XboxSupport hello I have a issue with Xbox one,@185430 Thanks for letting us know! We were closed up overnight: https://t.co/XJOdrwpuSt but we're back open now :)  ^QZ,howto_general,,,
"@XboxSupport No, they didn't. Since my last response, Crunchroll has frozen and needed to be restarted twice",@222790 Thanks for that. Can you dm your GT and the exact steps you went through on that page? There are a few different path's there and the steps you tried can help us determine where the issue lies. https://t.co/nPX1yNG0Tv ^IS,game_app_crash,,,
@XboxSupport What about those of us who went from a Day One to an X?,@644020 previous running promotion has since expired and we do not have any info on a new promotion.  2 ^ZM,howto_general,,,
@120009 @XboxSupport @160829 Now I have a 2week ban,"@502326 Hi, can you direct message us and explain to us what you need help with? ^RM",enforcement_ban,,,
@XboxSupport SpliffChef,"@276043 Hi again! Just to clarify, is your account a child account, by chance?  ^JA",noise_other,,,
